id_alimento_anmat,nombre,denominacion,marca,categoria,kcal_100g,unidad,proteinas_100g,grasas_100g,carbs_100g
1,Aceitunas verdes en salmuera,,Finca la fortaleza,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) semi procesados",115.0,g,0.0,12.0,0.0
2,Aceitunas negras en salmuera,,Finca la fortaleza,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) semi procesados",245.0,g,0.0,26.5,0.0
3,Ajie en vinagre,Ajies despuntados en vinagre de alcohol,Los chasquis,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",16.0,g,0.4,4.0,2.8
4,Nuez sin cáscara en cuartos blanca,Nuez sin cáscara en cuartos,Finca la florida-nuts,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",700.0,g,15.0,65.0,5.0
5,Nuez sin cáscara en cuartos cobrizo,Nuez sin cáscara en cuartos,Finca la florida-nuts,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",700.0,g,15.0,65.0,5.0
6,Finca la florida- nuts,Nuez con cáscara,Finca la florida,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",350.0,g,7.5,32.5,2.5
7,Nuez sin cáscara mariposa blanca,Nuez sin cáscara mariposa,Finca la florida- nuts,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",700.0,g,15.0,65.0,5.0
8,Ajies en vinagre de alcohol,Ajies despuntados en vinagre de alcohol,Castell,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",24.0,g,1.2,0.0,3.6
9,Aceitunas negras en salmuera,,Valle viejo s.A.,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",203.5,g,0.0,21.5,0.0
10,Conserva de ajies troceados condimentados en aceite de girasol,,Waidatt,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",154.0,g,1.0,15.0,2.2
11,Pimientos condimentados en aceite de girasol,,Waidatt,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) semi procesados",164.0,g,1.0,16.0,3.6
12,Aceitunas verdes en salmuera,,Valle viejo s.A.,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",254.0,g,0.0,26.0,0.0
13,Aceitunas verdes descarozadas en salmuera,,Valle viejo s.A.,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",221.5,g,0.0,23.5,0.0
14,Aceitunas verdes en rodajas en salmuera,,Valle viejo s.A.,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",221.5,g,0.0,23.5,0.0
15,Aceitunas negras tipo griego,Aceitunas negras tipo griego en aceite de girasol,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",370.0,g,2.0,38.0,4.0
16,Conserva de cebollas troceadas condimentadas en aceite de girasol,,Finca aguilar,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",250.0,g,1.2,25.0,2.0
17,Aceitunas verdes descarozadas,Aceitunas verdes descarozadas en salmuera,Pleione gourmet,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",35.0,g,0.0,5.0,0.0
18,Pasta de ajo en salmuera a granel,,El alto,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",165.0,g,1.0,15.0,2.0
19,Aceitunas negras en salmuera,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",190.0,g,1.0,19.0,2.0
20,Conserva de pimientos morrones en trozos condimentados en aceite de girasol,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",150.0,g,1.2,15.0,2.2
21,Conserva de pimientos morrones calahorra enteros elegidos,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",22.0,g,1.0,0.2,3.6
22,Antipasto,Conserva de hortalizas en aceite de girasol,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",293.33,g,1.33,30.0,3.67
23,Pickles mixtos en vinagre de alcohol,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",30.0,g,1.33,0.33,5.0
24,Hortalizas escabechadas en aceite de girasol,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",152.0,g,1.2,15.0,2.2
25,Tomates pelados peritas enteros elegidos con puré de tomate,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",29.23,g,1.69,0.08,4.69
26,Aceitunas verdes en rodajas en salmuera,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",96.67,g,0.33,10.0,0.67
27,Chimichurri,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",18.0,g,1.2,0.4,1.8
28,Aceitunas verdes descarozadas,Aceitunas verdes descarozadas en salmuera,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",145.0,g,0.5,15.0,1.0
29,Aji despuntados en vinagre de alcohol,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",88.0,g,5.6,0.8,11.2
30,Ajies troceados condimientados en aceite de girasol,Conserva de ajies troceados con especias en aceite girasol,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",150.0,g,1.2,15.0,2.2
31,Cebollitas en vinagre de alcohol,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",20.0,g,0.67,0.33,3.33
32,Con altura,Pure de tomate,Valles,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",18.0,g,1.3,0.0,3.3
33,Salsa picante,Salsa a base de tomate con aji cayena y especias,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",23.33,g,0.83,0.17,3.83
34,Berenjenas en aceite con especias,Conserva de berenjena con especias en aceite de girasol,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",162.0,g,2.0,15.6,3.0
35,Pimientos enteros comunes en conserva,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",22.0,g,1.0,0.2,3.6
36,Salsa a base de tomate triturado con especias,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",25.0,g,1.17,0.17,4.5
37,Pure de tomate,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",64.0,g,3.0,0.4,12.0
38,Salsa para pizza,Salsa a base de tomate para pizza,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",38.33,g,2.0,0.17,6.83
39,Pepinillos en vinagre de alcohol,,Abumalek,"Vegetales (frutas, hortalizas, frutas secas, verduras y legumbres) procesados",20.0,g,0.67,0.33,3.67
40,Aceitunas verdes en salmuera,,La tinogasteña,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",80.0,g,1.5,7.0,2.0
41,Aceitunas negras en salmuera,,La tinogasteña,"Conservas de vegetales (frutas, hortalizas, verduras y legumbres)",150.0,g,0.0,30.0,0.0
